Type	Tissue	spemirp.value	spehostp.value	speratiop.value	spemirestimate	spehostestimate	speratioestimate	spemirfulogp	spehostfulogp	speratiofulogp	normirp.value	norhostp.value	norratiop.value	normirestimate	norhostestimate	norratioestimate	normirfulogp	norhostfulogp	norratiofulogp
ENSG00000131914hsa-let-7b-5p	TCGA-KICH	0.640644852803399	0.0609396718820418	0.101876056204506	-0.0589932792926318	0.233737081584435	-0.204716194190479	-0.193382658798789	1.21509988848227	-0.991927875661428	0.637016254514939	0.150432626113803	0.0973419639061129	-0.0596338027455245	0.180395840923452	-0.207416099884949	-0.195849485786975	0.8226579629163	-1.01169989597022
ENSG00000131914hsa-let-7b-5p	TCGA-KIRC	0.000851704770621867	1.14447195245542e-13	3.54859793662923e-16	-0.149601313952222	0.325657120265125	-0.355662010176013	-3.06971092015034	12.9413948461027	-15.449943204314	0.00197282596707631	5.02558727905474e-15	4.54691337277958e-18	-0.138895305111069	0.342295263458081	-0.376350298666495	-2.70491122436364	14.2988131802458	-17.3422833198398
ENSG00000131914hsa-let-7b-5p	TCGA-KIRP	0.00022568156329734	1.84098949069125e-09	0.00310662660017488	0.215346136900063	0.344229695568442	-0.173372598745644	3.64650391848218	8.73494869066374	-2.50771094347142	0.000724838077063917	2.5691181844587e-07	0.007055862956335	0.197714593957451	0.297492974359282	-0.158168790409804	3.13975900045212	6.59021591687897	-2.15144986295071
ENSG00000131914hsa-let-7b-5p	TCGA-LAML	0.719512073898086	0.886623609740532	0.964132465807358	-0.0299711759999229	-0.0119017091957236	-0.00375386810368928	-0.142961913911785	-0.0522607081331081	-0.0158632926356338	0.687024563789584	0.688617056747343	0.947421367922272	-0.0336235109668167	-0.0334430417942491	0.00550494957090055	-0.163027734952736	-0.162022224211207	0.0234568245203668
ENSG00000131914hsa-let-7b-5p	TCGA-LGG	0.0198941578178809	5.9360073474483e-16	4.77651956947981e-07	0.10159611388355	0.343144248434123	-0.217628345870845	1.70127444117649	15.2265055701693	-6.32088843860289	0.00454279557106538	1.36091339688248e-12	2.63152590187688e-05	0.123670051182611	0.302775870098841	-0.182337836194978	2.34267680629694	11.8661695106914	-4.57979235090346
ENSG00000131914hsa-let-7b-5p	TCGA-LIHC	0.06898748755824	0.245240700436965	0.0116146944597426	-0.0946473265881825	0.0605582846817165	-0.131074791753227	-1.16122967125084	0.610407452145707	-1.93499221041761	0.0115000917483002	0.890146576261759	0.0504689656470076	-0.131254197476078	0.00720473637205817	-0.101766122998844	-1.93929869480973	0.0505384742311536	-1.29697559596772
ENSG00000131914hsa-let-7b-5p	TCGA-LUAD	1.30556301256682e-06	0.812260120126682	0.0114976766858124	-0.213788587951548	-0.0106162214134158	-0.112603744932208	-5.88420216225571	-0.0903048689792319	-1.93938990786101	1.16702327136656e-11	0.0671153044391753	0.0375202644619608	-0.29640759509437	-0.0817025913204641	-0.0927758882578174	-10.932920483693	-1.17317843548522	-1.42573410915317
ENSG00000131914hsa-let-7b-5p	TCGA-LUSC	0.0112185698765956	0.940170392350866	0.176702067894516	-0.116385113321368	0.00345653873643331	-0.0621566357814089	-1.95006250264218	0.0267934296433059	-0.752758368037534	0.0220878670075187	0.375407812342492	0.623142804296795	-0.105116662291611	-0.0408039849567737	-0.0226276534500238	-1.65584622127619	-0.425496693829932	-0.205412415602221
ENSG00000131914hsa-let-7b-5p	TCGA-MESO	0.355919828141314	0.094619324199202	0.149586982481097	0.100768587893827	0.181400178082438	-0.156717464756168	0.448647816962465	1.02402015814336	-0.825106198467614	0.7323236160575	0.0727881868127449	0.0770880063701627	0.0374173261433385	0.194463016693426	-0.191663920738457	0.135296960458149	1.13793909896081	-1.11301318579385
ENSG00000131914hsa-let-7b-5p	TCGA-OV	0.000140433683151771	0.0134144432620507	4.7535231378537e-08	-0.195367820880868	0.12758682303617	-0.277343778982228	-3.85252871376969	1.87242734708721	-7.32298438781319	3.40818733549275e-05	0.0595164907763967	3.04501746901148e-07	-0.21227666957771	0.0974015437819069	-0.260712189245461	-4.46747654168271	1.22536268366809	-6.5164102115127
ENSG00000131914hsa-let-7b-5p	TCGA-PAAD	0.0290162521878328	0.0252101735928237	0.00560595731784201	-0.163690526026571	0.167748978514529	-0.206826245750455	-1.53735868284435	1.5984241638378	-2.2513502131573	0.140612467825915	0.0540123795642285	0.00968856284785454	-0.110884887610696	0.144673637515518	-0.193413513012575	-0.851976169586938	1.26750668906117	-2.01374063920677
ENSG00000131914hsa-let-7b-5p	TCGA-PCPG	0.847667345062371	0.166095661817067	0.303947694440074	0.0142973551974625	0.102804691061327	-0.0764046756299076	0.0717745469740839	0.77964171055591	-0.517201146557385	0.89277981126662	0.231398383101104	0.23663742756097	0.0100322781918502	0.0889012562186871	-0.0879148245981945	0.0492556391442184	0.635639680011416	-0.625916564451596
